time,open,high,low,close,volume,price_change,price_volatility,event_type
14:00:00,1.001375,1.005005,1.001345,1.0048,124757.63905325536,0.0034303176164534044,0.01576898839631422,Other Anomaly
12:00:00,0.979715,0.98511,0.975165,0.984745,133210.11942033473,0.005139275908176977,0.050948869872328675,Major Market Move
13:00:00,0.984715,0.988155,0.98396,0.986665,135360.56934327635,0.0019497433345689874,0.05096044556486604,Hidden Accumulation/Distribution
14:00:00,0.98666,0.99406,0.986045,0.992925,110953.1893630773,0.006344605311833229,0.051011829844907826,Major Market Move
12:00:00,1.221775,1.2234,1.22171,1.22212,15763.23004791886,0.0002782825058520455,0.04923364464737404,Volatility Event
13:00:00,1.222125,1.22232,1.221145,1.22119,16909.30004063249,-0.0007609727359015883,0.04930042581798086,Volatility Event
09:00:00,1.217325,1.21747,1.21441,1.21477,26105.43021667749,-0.00210706173731956,0.033100350262618546,Major Market Move
00:00:00,1.229875,1.2326199999999998,1.22921,1.230905,20702.560067839924,0.22816618939764322,0.0542762009310932,Volatility Event
01:00:00,1.2309100000000002,1.231535,1.22812,1.22893,36042.15012954921,-0.0016045105024350415,0.05427797183259755,Hidden Accumulation/Distribution
02:00:00,1.228935,1.229375,1.227685,1.227895,18594.160105548803,-0.0008421960567324138,0.05427957968625617,Volatility Event
03:00:00,1.22788,1.22953,1.2275649999999998,1.22859,16890.280087381605,0.0005660093086135021,0.05427527147236744,Volatility Event
04:00:00,1.228585,1.23065,1.228375,1.22918,19403.59010174871,0.0004802252989197786,0.054256655573708616,Volatility Event
05:00:00,1.229175,1.230585,1.22917,1.22966,12856.010051481428,0.00039050423859809946,0.054249791973342044,Volatility Event
06:00:00,1.22967,1.23219,1.229665,1.231655,14441.74005366862,0.0016223996877184899,0.054241129014059516,Volatility Event
07:00:00,1.231645,1.23453,1.231255,1.2339600000000002,32099.83012742549,0.0018714656295799603,0.05423151034470557,Hidden Accumulation/Distribution
08:00:00,1.23399,1.234045,1.23222,1.2324700000000002,31304.41012533009,-0.0012074945703264284,0.05424177336285847,Hidden Accumulation/Distribution
09:00:00,1.23246,1.233905,1.232075,1.2338399999999998,29140.630096681416,0.0011115889230566278,0.054233978723060246,Hidden Accumulation/Distribution
10:00:00,1.233825,1.23444,1.2333150000000002,1.23382,22890.58005657047,-1.620955715486705e-05,0.054232637774504155,Hidden Accumulation/Distribution
11:00:00,1.23383,1.23492,1.233355,1.233755,21664.01004783809,-5.268191470386707e-05,0.05423313452280496,Hidden Accumulation/Distribution
12:00:00,1.233745,1.234945,1.23299,1.23402,24067.6600946635,0.00021479142941660534,0.05423003295802956,Hidden Accumulation/Distribution
13:00:00,1.233985,1.234495,1.231675,1.23196,28560.690095700327,-0.0016693408534707022,0.05424425879752133,Hidden Accumulation/Distribution
14:00:00,1.231955,1.232075,1.229245,1.23096,49920.01014906914,-0.000811714666060448,0.0538689900240394,Hidden Accumulation/Distribution
15:00:00,1.23094,1.2317749999999998,1.227535,1.22823,34684.54011417925,-0.0022177812439072575,0.05389148413955133,Major Market Move
16:00:00,1.22822,1.22926,1.226565,1.2289750000000002,30742.860041782264,0.0006065639171817239,0.05388733802944822,Hidden Accumulation/Distribution
17:00:00,1.22898,1.23042,1.22853,1.22989,15727.819985397162,0.0007445228747531285,0.051031997981068285,Volatility Event
18:00:00,1.22987,1.23176,1.2296399999999998,1.231045,13261.69001360983,0.000939108375545894,0.05102787468715049,Volatility Event
19:00:00,1.2310599999999998,1.23161,1.22978,1.2307,28531.28001995385,-0.0002802497065501619,0.05103325351026874,Hidden Accumulation/Distribution
20:00:00,1.23068,1.233985,1.23068,1.2323849999999998,29685.0950068608,0.0013691395140975615,0.0011450650053023324,Hidden Accumulation/Distribution
21:00:00,1.2324000000000002,1.23314,1.23218,1.232655,7267.169997863473,0.00021908737934994704,0.0010760102472221458,Other Anomaly
22:00:00,1.232695,1.2331,1.232345,1.232785,1443.1189977973695,0.00010546341028105921,0.0010504939760824302,Other Anomaly
23:00:00,1.232785,1.234,1.2326899999999998,1.233835,5179.210012309254,0.0008517300259169858,0.001057662240947426,Other Anomaly
13:00:00,0.975775,0.980705,0.97519,0.979755,201273.1181323454,0.00406851919224005,0.03533459464984505,Major Market Move
14:00:00,0.97978,0.98171,0.97656,0.97972,190724.63887600604,-3.5723216518457335e-05,0.03534565747570991,Hidden Accumulation/Distribution
15:00:00,0.97971,0.98565,0.977985,0.9855,208420.2486239225,0.005899644796472536,0.03543623688429536,Major Market Move
16:00:00,0.985505,0.9868,0.982505,0.98391,157228.63937598467,-0.0016133942161340453,0.0354190479302665,Hidden Accumulation/Distribution
14:00:00,0.996945,0.99826,0.99391,0.995065,109762.24897972496,-0.0018807551106386766,0.011595712402879205,Hidden Accumulation/Distribution
13:00:00,1.21558,1.21576,1.212335,1.213345,32778.90015837551,-0.0018468398061848301,0.014108156052372704,Hidden Accumulation/Distribution
09:00:00,1.21481,1.21489,1.21196,1.212265,30940.7300464511,-0.0021031922424722405,0.05022897520385234,Major Market Move
14:00:00,1.211135,1.2112500000000002,1.20586,1.20683,46060.9600622207,-0.003546289606770503,0.05024345361300485,Major Market Move
15:00:00,1.206835,1.20983,1.2067899999999998,1.2091150000000002,43176.4400221035,0.0018933901212268012,0.050242372741395376,Hidden Accumulation/Distribution
15:00:00,0.99961,1.0047899999999998,0.999385,1.00275,112766.56041315946,0.0031362074398644246,0.03849022310953751,Major Market Move
18:00:00,0.98811,0.9976,0.98734,0.988495,166249.78838706017,0.00041494405845643456,0.003586164816677725,Hidden Accumulation/Distribution
