timestamp,type,price,volume,volatility,rsi
00:00:00,High Impact Event,1.093235,25048.840739689836,0.0959371807010317,59.84746189408157
00:00:00,High Impact Event,0.95694,57231.49934867025,0.15155718027447712,47.12355973608786
01:00:00,High Impact Event,1.12634,38060.09031430636,0.09866385156368677,56.66210471934961
01:00:00,High Impact Event,0.96533,102067.4092497155,0.09599023054064788,39.53860320845248
02:00:00,High Impact Event,1.07303,56806.51943270118,0.12785887673569846,50.00189938333354
02:00:00,High Impact Event,1.06742,27515.47057646518,0.13872435073351144,55.97483859849137
02:00:00,High Impact Event,1.14713,36214.38044989113,0.16640802279262443,56.53130217604283
03:00:00,High Impact Event,1.027375,45416.26958359779,0.06191664121894968,39.79095634676654
03:00:00,High Impact Event,1.05401,67849.69096589099,0.15713149800072185,53.25509834680825
03:00:00,Hidden Accumulation,1.06084,113932.07914758474,0.13551800823784732,52.22433574676999
04:00:00,High Impact Event,1.121075,27534.490229249022,0.1252866682659058,60.640988052481134
04:00:00,High Impact Event,1.0828950000000002,23557.420381456646,0.1503512115550188,53.62442996665586
04:00:00,High Impact Event,1.11255,22665.48052918916,0.14004096812789285,58.599037186911325
04:00:00,High Impact Event,0.97149,93591.59867464007,0.11367290416574873,46.787643752513425
05:00:00,High Impact Event,0.98256,49794.75958210231,0.09489992099304591,42.46790985740805
06:00:00,High Impact Event,1.231655,14441.74005366862,0.183484714878655,57.27651152534715
06:00:00,High Impact Event,0.99699,61562.139649212375,0.16889645630641137,45.47669649262925
06:00:00,High Impact Event,0.97818,61343.79957838358,0.1083796661807416,44.34904858053655
06:00:00,High Impact Event,0.964285,44391.28024697307,0.08656890879582534,38.14664183359308
06:00:00,High Impact Event,1.1213099999999998,65037.54963698984,0.13483001267330302,60.48859475602304
06:00:00,High Impact Event,0.97996,75935.12952902915,0.11086673150801972,45.62092965796306
06:00:00,High Impact Event,0.98977,109099.3586669788,0.12075310993486447,42.35218781840824
07:00:00,High Impact Event,0.96786,98235.49934129415,0.12662291323405153,47.58819192777993
07:00:00,High Impact Event,1.024475,63880.88951297106,0.08543278953178929,37.238125440907126
07:00:00,High Impact Event,0.97075,104708.49893491718,0.1636033349095964,47.89007355138305
07:00:00,High Impact Event,1.045955,84810.96992819756,0.13490933086551932,48.53299241476527
07:00:00,High Impact Event,0.991085,53322.13052988057,0.1669277599777321,43.18708792870537
07:00:00,High Impact Event,0.99407,74377.04971925916,0.16390557024169142,47.551523075921
07:00:00,High Impact Event,1.04074,104013.019031778,0.08855955519528927,47.798511607242034
07:00:00,High Impact Event,1.003315,81133.89932121338,0.14372422758921238,48.84779127446003
08:00:00,High Impact Event,1.077985,108716.31915514918,0.13446558457021512,50.31878977342886
08:00:00,High Impact Event,0.98795,145039.11981879923,0.1209124417773343,47.31964257033976
08:00:00,High Impact Event,1.044435,93271.36899168792,0.16859811493443774,47.8348127768755
08:00:00,High Impact Event,0.99866,85819.38960973176,0.1453159797075709,46.35136947559319
08:00:00,High Impact Event,0.869175,53500.36076527837,0.1391536743020384,43.488402393565465
08:00:00,High Impact Event,1.0552,82822.23949959129,0.15976215694767493,54.89951746409892
09:00:00,High Impact Event,1.03817,75848.79907290639,0.13584894841342357,47.9287697126962
09:00:00,High Impact Event,1.07258,91000.46928554772,0.15678501053983962,50.1849764590801
09:00:00,High Impact Event,1.06704,127244.60923113675,0.124522473923536,50.472824431778925
09:00:00,High Impact Event,1.0678,83628.82949501276,0.1388574470174532,56.650466976480374
09:00:00,High Impact Event,0.969345,84882.1299148649,0.16626831011405707,51.91594023372116
09:00:00,High Impact Event,0.964655,85929.85987693073,,55.34680780879839
09:00:00,High Impact Event,0.976315,60878.019726395614,0.09379342819671364,40.155002891844994
09:00:00,High Impact Event,1.103745,42791.71978340298,0.13066136695522737,56.99310150309669
09:00:00,High Impact Event,0.979735,70560.35001336785,0.13647508350379509,47.12044182270673
10:00:00,High Impact Event,1.06271,88949.74948015064,0.12341835361313752,49.10116556646998
10:00:00,High Impact Event,0.982265,81573.14921662214,0.16743255717573083,47.94342589303678
10:00:00,High Impact Event,0.989595,74199.91073334224,0.17622060634828995,48.24291806637601
10:00:00,High Impact Event,0.95743,170485.7777612135,0.1282869135686409,44.55312345381166
11:00:00,High Impact Event,1.05876,89163.97950612754,0.1268111720504959,49.93314611830781
11:00:00,High Impact Event,0.987845,69532.26957198979,0.16605912578101095,53.28926087659712
11:00:00,High Impact Event,1.05478,54862.45984274149,0.11370398975336138,54.052679141309774
11:00:00,High Impact Event,0.98138,55270.76073044544,0.0666131354339794,49.40913311386849
12:00:00,High Impact Event,0.942965,47988.28040999923,0.166450954057875,51.18767959123878
12:00:00,High Impact Event,1.07345,106590.76987860352,0.13959464468004631,55.95335770811513
12:00:00,High Impact Event,1.003735,119708.65952912718,0.11343019607085644,45.278477191883155
12:00:00,High Impact Event,1.10592,114961.6390361041,0.1024098707514015,51.30756381817006
12:00:00,High Impact Event,1.0158,93127.68959023803,0.08083464294511589,52.92259659164824
12:00:00,High Impact Event,1.098895,95953.63934672624,0.09361020697650983,51.226901677293576
12:00:00,High Impact Event,1.10094,117721.4191536829,0.13425824317336504,55.99516449972542
12:00:00,High Impact Event,1.091195,87538.26947028935,0.11814136015864862,48.892159665245494
12:00:00,High Impact Event,0.96223,43862.81043761972,0.13248192304200668,39.40031756582105
12:00:00,High Impact Event,1.05818,95910.759409152,0.09113563964011175,47.64562596880518
12:00:00,High Impact Event,0.975785,91671.8994730711,0.07742849557734648,43.17602427921092
