time,open,high,low,close,volume,volume_spike,price_change,high_low_range,price_volatility,anomaly,event_type
14:00:00,1.001375,1.005005,1.001345,1.0048,124757.63905325536,True,0.0034303176164534044,0.003655083912138171,0.01576898839631422,-1,Major Market Move
12:00:00,0.979715,0.98511,0.975165,0.984745,133210.11942033473,True,0.005139275908176977,0.010198274138222857,0.050948869872328675,-1,Major Market Move
13:00:00,0.984715,0.988155,0.98396,0.986665,135360.56934327635,True,0.0019497433345689874,0.004263384690434632,0.05096044556486604,-1,Major Market Move
14:00:00,0.98666,0.99406,0.986045,0.992925,110953.1893630773,True,0.006344605311833229,0.008128432272360903,0.051011829844907826,-1,Major Market Move
12:00:00,1.221775,1.2234,1.22171,1.22212,15763.23004791886,False,0.0002782825058520455,0.0013833070041171548,0.04923364464737404,-1,Volatility Event
13:00:00,1.222125,1.22232,1.221145,1.22119,16909.30004063249,False,-0.0007609727359015883,0.0009622116947620047,0.04930042581798086,-1,Volatility Event
09:00:00,1.217325,1.21747,1.21441,1.21477,26105.43021667749,True,-0.00210706173731956,0.002519742096985419,0.033100350262618546,-1,Major Market Move
00:00:00,1.229875,1.2326199999999998,1.22921,1.230905,20702.560067839924,False,0.22816618939764322,0.0027741394879637437,0.0542762009310932,-1,Volatility Event
01:00:00,1.2309100000000002,1.231535,1.22812,1.22893,36042.15012954921,True,-0.0016045105024350415,0.0027806728984137914,0.05427797183259755,-1,Major Market Move
02:00:00,1.228935,1.229375,1.227685,1.227895,18594.160105548803,False,-0.0008421960567324138,0.0013765746099367439,0.05427957968625617,-1,Volatility Event
03:00:00,1.22788,1.22953,1.2275649999999998,1.22859,16890.280087381605,False,0.0005660093086135021,0.001600729900249858,0.05427527147236744,-1,Volatility Event
04:00:00,1.228585,1.23065,1.228375,1.22918,19403.59010174871,False,0.0004802252989197786,0.0018520402971405532,0.054256655573708616,-1,Volatility Event
05:00:00,1.229175,1.230585,1.22917,1.22966,12856.010051481428,False,0.00039050423859809946,0.0011511833188248524,0.054249791973342044,-1,Volatility Event
06:00:00,1.22967,1.23219,1.229665,1.231655,14441.74005366862,False,0.0016223996877184899,0.0020534047891091383,0.054241129014059516,-1,Volatility Event
07:00:00,1.231645,1.23453,1.231255,1.2339600000000002,32099.83012742549,True,0.0018714656295799603,0.002659887675582976,0.05423151034470557,-1,Major Market Move
08:00:00,1.23399,1.234045,1.23222,1.2324700000000002,31304.41012533009,True,-0.0012074945703264284,0.0014810666926360272,0.05424177336285847,-1,Major Market Move
09:00:00,1.23246,1.233905,1.232075,1.2338399999999998,29140.630096681416,True,0.0011115889230566278,0.0014852991903901939,0.054233978723060246,-1,Major Market Move
10:00:00,1.233825,1.23444,1.2333150000000002,1.23382,22890.58005657047,True,-1.620955715486705e-05,0.0009121757215308501,0.054232637774504155,-1,Hidden Accumulation
11:00:00,1.23383,1.23492,1.233355,1.233755,21664.01004783809,True,-5.268191470386707e-05,0.0012688966274917105,0.05423313452280496,-1,Hidden Accumulation
12:00:00,1.233745,1.234945,1.23299,1.23402,24067.6600946635,True,0.00021479142941660534,0.0015855765253570012,0.05423003295802956,-1,Hidden Accumulation
13:00:00,1.233985,1.234495,1.231675,1.23196,28560.690095700327,True,-0.0016693408534707022,0.0022895650232405648,0.05424425879752133,-1,Major Market Move
14:00:00,1.231955,1.232075,1.229245,1.23096,49920.01014906914,True,-0.000811714666060448,0.002302226163214095,0.0538689900240394,-1,Hidden Accumulation
15:00:00,1.23094,1.2317749999999998,1.227535,1.22823,34684.54011417925,True,-0.0022177812439072575,0.003454076665838285,0.05389148413955133,-1,Major Market Move
16:00:00,1.22822,1.22926,1.226565,1.2289750000000002,30742.860041782264,True,0.0006065639171817239,0.0021971929738742865,0.05388733802944822,-1,Hidden Accumulation
17:00:00,1.22898,1.23042,1.22853,1.22989,15727.819985397162,False,0.0007445228747531285,0.001538423970110758,0.051031997981068285,-1,Volatility Event
18:00:00,1.22987,1.23176,1.2296399999999998,1.231045,13261.69001360983,False,0.000939108375545894,0.0017240818450929719,0.05102787468715049,-1,Volatility Event
19:00:00,1.2310599999999998,1.23161,1.22978,1.2307,28531.28001995385,True,-0.0002802497065501619,0.0014880710370960644,0.05103325351026874,-1,Hidden Accumulation
20:00:00,1.23068,1.233985,1.23068,1.2323849999999998,29685.0950068608,True,0.0013691395140975615,0.0026855071992720396,0.0011450650053023324,-1,Major Market Move
21:00:00,1.2324000000000002,1.23314,1.23218,1.232655,7267.169997863473,False,0.00021908737934994704,0.0007791069486599765,0.0010760102472221458,-1,Other
22:00:00,1.232695,1.2331,1.232345,1.232785,1443.1189977973695,False,0.00010546341028105921,0.0006126531125618728,0.0010504939760824302,-1,Other
23:00:00,1.232785,1.234,1.2326899999999998,1.233835,5179.210012309254,False,0.0008517300259169858,0.0010627164980653242,0.001057662240947426,-1,Other
13:00:00,0.975775,0.980705,0.97519,0.979755,201273.1181323454,True,0.00406851919224005,0.005655308196351529,0.03533459464984505,-1,Major Market Move
14:00:00,0.97978,0.98171,0.97656,0.97972,190724.63887600604,True,-3.5723216518457335e-05,0.005273613500450549,0.03534565747570991,-1,Hidden Accumulation
15:00:00,0.97971,0.98565,0.977985,0.9855,208420.2486239225,True,0.005899644796472536,0.007837543520606179,0.03543623688429536,-1,Major Market Move
16:00:00,0.985505,0.9868,0.982505,0.98391,157228.63937598467,True,-0.0016133942161340453,0.004371479025552082,0.0354190479302665,-1,Major Market Move
